34,26.096,0
36,25.329,0
39,24.555,0
41,19.082,0
44,17.116,0
46,17.992,0
49,18.985,0
51,19.418,0
54,18.486,0
56,18.906,0
59,19.28,0
61,19.15,0
64,13.885,0
66,12.256,0
69,11.027,0
71,11.029,0
74,7.297,0
76,5.412,0
79,6.861,0
35,22.9,0
37,25.479,0
40,19.794,0
42,18.722,0
45,24.597,0
47,17.215,0
50,17.091,0
52,19.317,0
55,18.389,0
57,19.084,0
60,19.613,0
62,15.911,0
65,14.475,0
67,12.664,0
70,11.638,0
72,4.224,0
75,11.271,0
77,8.358,0
80,12.046,0
82,10.553,0
36,17.114,0
39,30.801,0
41,28.012,0
44,26.296,0
46,23.461,0
49,42.734,0
51,19.154,0
54,18.308,0
56,17.484,0
59,20.329,0
61,18.17,0
64,14.618,0
66,10.277,0
69,8.502,0
71,6.733,0
74,9.979,0
76,12.635,0
79,10.466,0
81,12.248,0
84,12.58,0
86,10.623,0
89,10.37,0
91,10.138,0
93,9.107,0
96,11.122,0
98,9.712,0
101,9.966,0
103,10.442,0
106,11.961,0
108,12.37,0
111,12.498,0
113,12.241,0
116,11.391,0
118,11.827,0
121,12.073,0
36,24.164,0
38,24.817,0
41,19.036,0
43,17.9,0
46,15.977,0
48,44.622,0
51,19.23,0
53,17.163,0
56,18.445,0
58,19.257,0
61,18.696,0
63,12.826,0
65,9.864,0
68,7.939,0
70,6.842,0
73,8.112,0
75,11.562,0
78,12.12,0
80,12.943,0
83,12.658,0
85,9.241,0
52,11.842,0
55,9.737,0
57,9.772,0
60,9.678,0
62,11.01,0
65,10.664,0
67,9.77,0
70,9.677,0
72,10.725,0
75,9.517,0
77,6.302,0
80,7.437,0
82,6.691,0
85,7.002,0
87,6.482,0
90,5.784,0
92,5.931,0
36,27.366,0
38,25.919,0
41,24.417,0
43,18.709,0
45,20.585,0
48,15.475,0
50,16.395,0
53,17.4,0
55,18.344,0
58,18.745,0
60,18.946,0
63,18.293,0
65,13.973,0
68,10.847,0
70,8.843,0
73,8.461,0
75,10.694,0
