-47,7.664,0
-45,15.706,0
-42,23.34,0
-40,26.759,0
-37,19.86,0
-35,19.16,0
-32,16.964,0
-30,17.618,0
-27,18.095,0
-25,17.763,0
-22,18.736,0
-20,18.821,0
-17,18.761,0
-15,17.164,0
-12,13.748,0
-10,11.943,0
-7,10.77,0
-5,10.921,0
-2,11.036,0
0,11.304,0
2,11.641,0
5,11.681,0
7,10.203,0
10,8.75,0
12,9.744,0
15,9.704,0
17,10.013,0
20,9.685,0
22,8.859,0
25,9.149,0
27,9.794,0
30,10.958,0
32,11.688,0
35,11.032,0
37,10.862,0
40,10.698,0
42,11.069,0
45,19.849,0
-46,7.134,0
-43,23.677,0
-41,25.163,0
-39,20.096,0
-36,19.256,0
-34,18.723,0
-31,16.848,0
-29,17.169,0
-26,17.275,0
-24,17.536,0
-21,18.731,0
-19,19.187,0
-16,18.586,0
-14,14.406,0
-11,12.072,0
-9,10.332,0
-6,10.112,0
-4,10.871,0
-1,11.088,0
1,10.293,0
4,11.129,0
6,11.164,0
9,9.921,0
11,10.307,0
14,9.994,0
16,10.709,0
19,10.223,0
21,9.595,0
23,9.036,0
26,9.063,0
28,11.257,0
31,11.53,0
33,11.141,0
36,11.32,0
38,10.537,0
41,9.814,0
43,10.66,0
-46,12.198,0
-43,24.024,0
-41,24.761,0
-38,19.997,0
-36,18.42,0
-33,17.49,0
-31,16.972,0
-28,16.694,0
-26,17.056,0
-23,17.175,0
-21,18.508,0
-18,18.599,0
-16,18.168,0
-13,14.764,0
-11,12.343,0
-8,10.805,0
-6,10.077,0
-3,10.048,0
-1,10.744,0
1,10.04,0
4,12.61,0
6,10.644,0
9,9.697,0
11,9.829,0
14,10.141,0
16,10.763,0
19,10.152,0
21,9.597,0
24,9.151,0
26,9.802,0
29,10.901,0
31,11.517,0
34,11.132,0
36,10.766,0
39,9.941,0
41,10.251,0
44,11.121,0
-44,23.116,0
-42,26.84,0
-39,20.313,0
-37,18.45,0
-34,17.697,0
-32,16.051,0
-29,15.384,0
