System Replica Z Radius.Max Radius.Min Radius.FrameCount Radius.StdDev Radius.Mean Radius_p1std Radius_m1std Radius_p2std Radius_m2std offZ
nolig_neg200mV 1us -5.28874 20.0 20.0 496.0 0.0 20.0 20.0 20.0 20.0 20.0 -89.28874
nolig_neg200mV 1us -4.286116011904761 20.0 20.0 496.0 0.0 20.0 20.0 20.0 20.0 20.0 -88.28611601190477
nolig_neg200mV 1us -3.283492023809524 20.0 20.0 496.0 0.0 20.0 20.0 20.0 20.0 20.0 -87.28349202380953
nolig_neg200mV 1us -2.280868035714286 20.0 20.0 496.0 0.0 20.0 20.0 20.0 20.0 20.0 -86.28086803571429
nolig_neg200mV 1us -1.2782440476190482 20.0 20.0 496.0 0.0 20.0 20.0 20.0 20.0 20.0 -85.27824404761905
nolig_neg200mV 1us -0.27562005952381075 20.0 20.0 496.0 0.0 20.0 20.0 20.0 20.0 20.0 -84.27562005952382
nolig_neg200mV 1us 0.7270039285714276 20.0 20.0 496.0 0.0 20.0 20.0 20.0 20.0 20.0 -83.27299607142857
nolig_neg200mV 1us 1.729627916666666 20.0 20.0 496.0 0.0 20.0 20.0 20.0 20.0 20.0 -82.27037208333333
nolig_neg200mV 1us 2.7322519047619034 20.0 20.0 496.0 0.0 20.0 20.0 20.0 20.0 20.0 -81.26774809523809
nolig_neg200mV 1us 3.734875892857141 20.0 20.0 496.0 0.0 20.0 20.0 20.0 20.0 20.0 -80.26512410714285
nolig_neg200mV 1us 4.737499880952378 20.0 19.174787031904764 496.0 0.05979910251209447 19.983879651899528 20.043678754411623 19.924080549387433 20.103477856923718 19.86428144687534 -79.26250011904762
nolig_neg200mV 1us 5.7401238690476175 20.0 18.46308162331905 496.0 0.1172061612932877 19.960644136349647 20.077850297642936 19.843437975056357 20.19505645893622 19.72623181376307 -78.25987613095238
nolig_neg200mV 1us 6.742747857142855 20.0 17.788399212742856 496.0 0.18786139713057598 19.932055958371024 20.1199173555016 19.744194561240448 20.307778752632174 19.556333164109873 -77.25725214285714
nolig_neg200mV 1us 7.745371845238092 20.0 17.152330432719047 496.0 0.26913338761105654 19.89801729100328 20.167150678614338 19.628883903392225 20.436284066225394 19.35975051578117 -76.2546281547619
nolig_neg200mV 1us 8.74799583333333 20.0 16.56123186286667 496.0 0.35834128591223385 19.858723165871293 20.21706445178353 19.500381879959058 20.57540573769576 19.142040594046826 -75.25200416666667
nolig_neg200mV 1us 9.750619821428568 20.0 16.017018226785716 496.0 0.4452919658177187 19.815681457670212 20.260973423487933 19.370389491852492 20.70626538930565 18.925097526034776 -74.24938017857143
nolig_neg200mV 1us 10.753243809523806 20.0 15.529984194438097 496.0 0.5468817996865943 19.7708776261784 20.317759425864995 19.223995826491805 20.86464122555159 18.67711402680521 -73.24675619047619
nolig_neg200mV 1us 11.755867797619043 20.0 15.095806343166739 496.0 0.6395026078284057 19.7122737483304 20.351776356158805 19.072771140501995 20.991278963987213 18.433268532673587 -72.24413220238095
nolig_neg200mV 1us 12.75849178571428 20.0 14.722872480657145 496.0 0.7079604011676808 19.621248614562422 20.329209015730104 18.91328821339474 21.037169416897783 18.20532781222706 -71.24150821428572
nolig_neg200mV 1us 13.761115773809518 20.0 14.415295054585716 496.0 0.7647485963085661 19.52051207002068 20.285260666329243 18.755763473712115 21.05000926263781 17.991014877403547 -70.23888422619048
nolig_neg200mV 1us 14.763739761904755 20.0 14.179447307714288 496.0 0.8263172252135031 19.504715190030545 20.33103241524405 18.67839796481704 21.15734964045755 17.85208073960354 -69.23626023809524
nolig_neg200mV 1us 15.766363749999996 20.0 14.018813618400001 496.0 0.8786931548737983 19.512421419050348 20.391114573924146 18.63372826417655 21.269807728797943 17.755035109302753 -68.23363625
nolig_neg200mV 1us 16.768987738095234 20.0 13.931531238257143 496.0 0.8834929054993285 19.522775208063244 20.40626811356257 18.639282302563917 21.289761019061903 17.755789397064586 -67.23101226190477
nolig_neg200mV 1us 17.77161172619047 20.0 13.891883103709523 496.0 0.8523039287464368 19.54070183822092 20.393005766967356 18.68839790947448 21.245309695713793 17.836093980728045 -66.22838827380953
nolig_neg200mV 1us 18.77423571428571 20.0 13.920930346514286 496.0 0.8904064654822308 19.511645368865 20.40205183434723 18.62123890338277 21.292458299829462 17.73083243790054 -65.22576428571429
nolig_neg200mV 1us 19.776859702380946 20.0 13.986420709090476 496.0 0.8956845554599974 19.465197352683614 20.36088190814361 18.569512797223616 21.25656646360361 17.67382824176362 -64.22314029761905
nolig_neg200mV 1us 20.779483690476184 20.0 14.089877199561903 496.0 0.8717495160794435 19.44066979811954 20.312419314198983 18.568920282040096 21.184168830278427 17.697170765960653 -63.220516309523816
nolig_neg200mV 1us 21.78210767857142 20.0 14.260797077071425 496.0 0.8427177861291124 19.43365208408007 20.27636987020918 18.59093429795096 21.119087656338294 17.748216511821845 -62.21789232142858
nolig_neg200mV 1us 22.784731666666662 20.0 14.506623483199999 496.0 0.7956198551024231 19.45163189134083 20.247251746443254 18.65601203623841 21.042871601545677 17.860392181135985 -61.21526833333334
nolig_neg200mV 1us 23.7873556547619 20.0 14.81854213183333 496.0 0.799224006572282 19.42099965059694 20.22022365716922 18.62177564402466 21.019447663741502 17.822551637452378 -60.212644345238104
